Team,Year,Playoff_Success,Previous_Year_Cluster,Cluster,Coaches,salary,Num_Teams,Player_Status,Age,Player
ATL,1981,0,"[5.0, 0.0, 5.0, 0.0, 1.0, 3.0, 11.0, 11.0, 13.0, 11.0, 19.0, 18.0, 0.0, 19.0, 18.0, 5.0]","[0.0, 0.0, 5.0, 14.0, 1.0, 5.0, 11.0, 11.0, 6.0, 11.0, 14.0, 18.0, 14.0, 14.0, 18.0, 5.0]","H. Brown (31-48), M. Fratello (0-3)","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2]","['NOT with team last year', 'Rookie', 'With team last year', 'Rookie', 'With team last year', 'Rookie', 'With team last year', 'With team last year', 'NOT with team last year', 'With team last year', 'NOT with team last year', 'With team last year', 'NOT with team last year', 'NOT with team last year', 'With team last year', 'Rookie']","[27.0, 26.0, 32.0, 23.0, 27.0, 22.0, 25.0, 25.0, 27.0, 26.0, 29.0, 30.0, 28.0, 28.0, 25.0, 21.0]","['Armond Hill', 'Art Collins', 'Charlie Criss', 'Craig Shelton', 'Dan Roundfield', 'Don Collins', 'Eddie Johnson', 'Eddie Johnson', 'Jim McElroy', 'John Drew', 'Sam Pellom', 'Steve Hawes', 'Tom Burleson', 'Tom McMillen', 'Tree Rollins', 'Wes Matthews']"
ATL,1982,1,"[13.0, 5.0, 14.0, 1.0, 11.0, 11.0, 11.0, 6.0, 11.0, 5.0, 0.0, 0.0, 14.0, 18.0, 14.0, 18.0, 5.0]","[0.0, 5.0, 0.0, 1.0, 11.0, 11.0, 3.0, 5.0, 11.0, 5.0, 5.0, 5.0, 19.0, 18.0, 5.0, 18.0, 5.0]",K. Loughery (42-40),"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[2, 2, 1, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['Rookie', 'With team last year', 'NOT with team last year', 'With team last year', 'With team last year', 'With team last year', 'NOT with team last year', 'NOT with team last year', 'With team last year', 'With team last year', 'NOT with team last year', 'Rookie', 'NOT with team last year', 'With team last year', 'NOT with team last year', 'With team last year', 'With team last year']","[23.0, 33.0, 24.0, 28.0, 26.0, 26.0, 25.0, 28.0, 27.0, 26.0, 23.0, 23.0, 30.0, 31.0, 29.0, 26.0, 22.0]","['Al Wood', 'Charlie Criss', 'Craig Shelton', 'Dan Roundfield', 'Eddie Johnson', 'Eddie Johnson', 'Freeman Williams', 'Jim McElroy', 'John Drew', 'Mike Glenn', 'Rory Sparrow', 'Rudy Macklin', 'Sam Pellom', 'Steve Hawes', 'Tom McMillen', 'Tree Rollins', 'Wes Matthews']"
ATL,1983,1,"[1.0, 13.0, 5.0, 5.0, 18.0, 18.0, 18.0, 11.0, 11.0, 6.0, 5.0, 5.0, 5.0, 19.0, 5.0, 5.0, 19.0, 14.0, 18.0, 5.0, 18.0, 5.0]","[1.0, 11.0, 11.0, 11.0, 19.0, 19.0, 19.0, 5.0, 5.0, 0.0, 5.0, 0.0, 0.0, 19.0, 5.0, 5.0, 17.0, 0.0, 5.0, 5.0, 18.0, 5.0]",K. Loughery (43-39),"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[1, 1, 2, 2, 2, 2, 2, 1, 1, 1, 1, 2, 2, 2, 2, 1, 2, 2, 2, 1, 1, 1]","['With team last year', 'Rookie', 'NOT with team last year', 'NOT with team last year', 'NOT with team last year', 'NOT with team last year', 'NOT with team last year', 'NOT with team last year', 'NOT with team last year', 'Rookie', 'With team last year', 'NOT with team last year', 'NOT with team last year', 'With team last year', 'With team last year', 'With team last year', 'NOT with team last year', 'Rookie', 'NOT with team last year', 'With team last year', 'With team last year', 'With team last year']","[29.0, 23.0, 27.0, 27.0, 34.0, 34.0, 34.0, 27.0, 27.0, 22.0, 27.0, 34.0, 34.0, 24.0, 24.0, 24.0, 31.0, 22.0, 32.0, 30.0, 27.0, 23.0]","['Dan Roundfield', 'Dominique Wilkins', 'Eddie Johnson', 'Eddie Johnson', 'George Johnson', 'George Johnson', 'George Johnson', 'Johnny Davis', 'Johnny Davis', 'Keith Edmonson', 'Mike Glenn', 'Randy Smith', 'Randy Smith', 'Rickey Brown', 'Rory Sparrow', 'Rudy Macklin', 'Sam Pellom', 'Scott Hastings', 'Steve Hawes', 'Tom McMillen', 'Tree Rollins', 'Wes Matthews']"
ATL,1984,1,"[19.0, 19.0, 5.0, 1.0, 0.0, 11.0, 11.0, 11.0, 0.0, 5.0, 5.0, 19.0, 5.0, 3.0, 14.0, 0.0, 5.0, 18.0, 5.0]","[0.0, 19.0, 0.0, 1.0, 5.0, 11.0, 5.0, 5.0, 19.0, 5.0, 5.0, 0.0, 5.0, 5.0, 19.0, 19.0, 0.0, 18.0, 5.0]",M. Fratello (40-42),"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[1, 1, 2, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2]","['NOT with team last year', 'With team last year', 'NOT with team last year', 'With team last year', 'Rookie', 'With team last year', 'NOT with team last year', 'NOT with team last year', 'Rookie', 'With team last year', 'With team last year', 'NOT with team last year', 'With team last year', 'Rookie', 'NOT with team last year', 'NOT with team last year', 'NOT with team last year', 'With team last year', 'With team last year']","[30.0, 35.0, 35.0, 30.0, 22.0, 24.0, 28.0, 28.0, 22.0, 28.0, 28.0, 28.0, 28.0, 24.0, 25.0, 23.0, 26.0, 28.0, 24.0]","['Armond Hill', 'Billy Paultz', 'Charlie Criss', 'Dan Roundfield', 'Doc Rivers', 'Dominique Wilkins', 'Eddie Johnson', 'Eddie Johnson', 'John Pinone', 'Johnny Davis', 'Johnny Davis', 'Mark Landsberger', 'Mike Glenn', 'Randy Wittman', 'Rickey Brown', 'Scott Hastings', 'Sly Williams', 'Tree Rollins', 'Wes Matthews']"
ATL,1985,0,"[13.0, 7.0, 18.0, 5.0, 11.0, 11.0, 11.0, 5.0, 3.0, 0.0, 5.0, 5.0, 19.0, 19.0, 5.0, 0.0, 6.0, 18.0, 3.0]","[18.0, 7.0, 18.0, 11.0, 11.0, 11.0, 11.0, 0.0, 18.0, 15.0, 5.0, 5.0, 14.0, 14.0, 0.0, 13.0, 0.0, 18.0, 3.0]",M. Fratello (34-48),"[nan, nan, 200000.0, 105000.0, 460000.0, 491000.0, 491000.0, nan, nan, nan, nan, 170000.0, 160000.0, 160000.0, nan, 450000.0, nan, 678000.0, nan]","[1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1]","['Rookie', 'With team last year', 'With team last year', 'NOT with team last year', 'With team last year', 'With team last year', 'With team last year', 'NOT with team last year', 'Rookie', 'NOT with team last year', 'With team last year', 'With team last year', 'NOT with team last year', 'NOT with team last year', 'NOT with team last year', 'NOT with team last year', 'NOT with team last year', 'With team last year', 'With team last year']","[23.0, 36.0, 24.0, 23.0, 25.0, 29.0, 29.0, 25.0, 22.0, 24.0, 29.0, 25.0, 26.0, 24.0, 25.0, 27.0, 23.0, 29.0, 24.0]","['Antoine Carr', 'Charlie Criss', 'Cliff Levingston', 'Doc Rivers', 'Dominique Wilkins', 'Eddie Johnson', 'Eddie Johnson', 'Jerry Eaves', 'Kevin Willis', 'Leo Rautins', 'Mike Glenn', 'Randy Wittman', 'Rickey Brown', 'Scott Hastings', 'Sidney Lowe', 'Sly Williams', 'Stewart Granger', 'Tree Rollins', 'Walker Russell']"
ATL,1986,3,"[18.0, 18.0, 11.0, 11.0, 11.0, 11.0, 5.0, 5.0, 5.0, 18.0, 18.0, 17.0, 5.0, 7.0, 14.0, 0.0, 5.0, 18.0]","[19.0, 18.0, 11.0, 1.0, 5.0, 5.0, 5.0, 5.0, 5.0, 18.0, 18.0, 19.0, 11.0, 7.0, 3.0, 0.0, 5.0, 18.0]",M. Fratello (50-32),"[335000.0, 200000.0, 170000.0, 585000.0, 325000.0, 325000.0, 70000.0, 300000.0, 300000.0, 475250.0, 298000.0, 70000.0, 200000.0, nan, 180000.0, nan, 70000.0, 743000.0]","[1, 1, 1, 1, 3, 3, 1, 2, 2, 1, 1, 1, 1, 3, 1, 2, 1, 1]","['NOT with team last year', 'With team last year', 'With team last year', 'NOT with team last year', 'NOT with team last year', 'NOT with team last year', 'Rookie', 'With team last year', 'With team last year', 'Rookie', 'With team last year', 'Rookie', 'NOT with team last year', 'With team last year', 'NOT with team last year', 'Rookie', 'Rookie', 'With team last year']","[24.0, 25.0, 24.0, 26.0, 30.0, 30.0, 23.0, 30.0, 30.0, 22.0, 23.0, 22.0, 26.0, 31.0, 25.0, 23.0, 22.0, 30.0]","['Antoine Carr', 'Cliff Levingston', 'Doc Rivers', 'Dominique Wilkins', 'Eddie Johnson', 'Eddie Johnson', 'John Battle', 'Johnny Davis', 'Johnny Davis', 'Jon Koncak', 'Kevin Willis', 'Lorenzo Charles', 'Randy Wittman', 'Ray Williams', 'Scott Hastings', 'Sedric Toney', 'Spud Webb', 'Tree Rollins']"
ATL,1987,3,"[19.0, 0.0, 0.0, 18.0, 11.0, 1.0, 11.0, 5.0, 18.0, 18.0, 0.0, 12.0, 11.0, 3.0, 5.0, 18.0]","[19.0, 0.0, 0.0, 18.0, 11.0, 2.0, 7.0, 5.0, 19.0, 1.0, 15.0, 12.0, 5.0, 0.0, 5.0, 18.0]",M. Fratello (57-25),"[nan, nan, nan, 375000.0, 450000.0, 1100000.0, nan, nan, 650000.0, nan, nan, nan, nan, nan, nan, 1000000.0]","[1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1]","['With team last year', 'Rookie', 'Rookie', 'With team last year', 'With team last year', 'NOT with team last year', 'NOT with team last year', 'With team last year', 'NOT with team last year', 'NOT with team last year', 'NOT with team last year', 'With team last year', 'NOT with team last year', 'NOT with team last year', 'With team last year', 'With team last year']","[25.0, 21.0, 21.0, 26.0, 25.0, 27.0, 33.0, 24.0, 23.0, 24.0, 27.0, 27.0, 27.0, 26.0, 23.0, 31.0]","['Antoine Carr', 'Cedric Henderson', 'Cedric Henderson', 'Cliff Levingston', 'Doc Rivers', 'Dominique Wilkins', 'Gus Williams', 'John Battle', 'Jon Koncak', 'Kevin Willis', 'Michael Wilson', 'Mike McGee', 'Randy Wittman', 'Scott Hastings', 'Spud Webb', 'Tree Rollins']"
ATL,1988,3,"[19.0, 0.0, 18.0, 11.0, 2.0, 5.0, 5.0, 19.0, 1.0, 6.0, 12.0, 5.0, 0.0, 5.0, 18.0]","[18.0, 19.0, 18.0, 11.0, 11.0, 0.0, 5.0, 19.0, 18.0, 3.0, 12.0, 5.0, 3.0, 5.0, 18.0]",M. Fratello (50-32),"[400000.0, 777200.0, 350000.0, 450000.0, 1460000.0, nan, 100000.0, 675000.0, 395000.0, 75000.0, 350000.0, 350000.0, 210000.0, 225000.0, 1117000.0]","[1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1]","['NOT with team last year', 'NOT with team last year', 'With team last year', 'With team last year', 'NOT with team last year', 'NOT with team last year', 'With team last year', 'With team last year', 'NOT with team last year', 'NOT with team last year', 'With team last year', 'With team last year', 'NOT with team last year', 'With team last year', 'With team last year']","[26.0, 22.0, 27.0, 26.0, 28.0, 25.0, 25.0, 24.0, 25.0, 25.0, 28.0, 28.0, 27.0, 24.0, 32.0]","['Antoine Carr', 'Chris Washburn', 'Cliff Levingston', 'Doc Rivers', 'Dominique Wilkins', 'Ennis Whatley', 'John Battle', 'Jon Koncak', 'Kevin Willis', 'Leon Wood', 'Mike McGee', 'Randy Wittman', 'Scott Hastings', 'Spud Webb', 'Tree Rollins']"
ATL,1989,1,"[18.0, 18.0, 11.0, 11.0, 18.0, 15.0, 5.0, 19.0, 1.0, 0.0, 14.0, 11.0, 5.0]","[19.0, 18.0, 11.0, 11.0, 0.0, 7.0, 5.0, 18.0, 1.0, 17.0, 19.0, 11.0, 5.0]",M. Fratello (52-30),"[460000.0, 425000.0, 475000.0, 1500000.0, 100000.0, 100000.0, 350000.0, 675000.0, 1500000.0, nan, 100000.0, 450000.0, 275000.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1]","['NOT with team last year', 'With team last year', 'With team last year', 'With team last year', 'Rookie', 'NOT with team last year', 'With team last year', 'NOT with team last year', 'With team last year', 'NOT with team last year', 'NOT with team last year', 'With team last year', 'With team last year']","[27.0, 28.0, 27.0, 29.0, 23.0, 31.0, 26.0, 25.0, 33.0, 28.0, 30.0, 31.0, 25.0]","['Antoine Carr', 'Cliff Levingston', 'Doc Rivers', 'Dominique Wilkins', 'Duane Ferrell', 'Dudley Bradley', 'John Battle', 'Jon Koncak', 'Moses Malone', 'Pace Mannion', 'Ray Tolbert', 'Reggie Theus', 'Spud Webb']"
ATL,1990,0,"[3.0, 19.0, 18.0, 11.0, 11.0, 0.0, 0.0, 5.0, 6.0, 18.0, 11.0, 18.0, 14.0, 14.0, 14.0, 14.0, 1.0, 0.0, 15.0, 5.0, 7.0]","[3.0, 19.0, 18.0, 11.0, 2.0, 0.0, 8.0, 5.0, 7.0, 19.0, 5.0, 18.0, 15.0, 15.0, 15.0, 15.0, 1.0, 0.0, 3.0, 5.0, 7.0]",M. Fratello (41-41),"[nan, nan, nan, nan, 2100000.0, nan, nan, nan, nan, 2200000.0, nan, nan, nan, nan, nan, nan, 2100000.0, nan, nan, nan, nan]","[1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 2, 2, 2, 1, 1, 2, 1, 1]","['Rookie', 'With team last year', 'With team last year', 'With team last year', 'NOT with team last year', 'With team last year', 'Rookie', 'With team last year', 'NOT with team last year', 'NOT with team last year', 'NOT with team last year', 'NOT with team last year', 'Rookie', 'Rookie', 'Rookie', 'Rookie', 'With team last year', 'Rookie', 'NOT with team last year', 'With team last year', 'NOT with team last year']","[25.0, 28.0, 29.0, 28.0, 30.0, 24.0, 24.0, 27.0, 33.0, 26.0, 24.0, 27.0, 26.0, 26.0, 26.0, 26.0, 34.0, 23.0, 27.0, 26.0, 30.0]","['Alexander Volkov', 'Antoine Carr', 'Cliff Levingston', 'Doc Rivers', 'Dominique Wilkins', 'Duane Ferrell', 'Haywoode Workman', 'John Battle', 'John Long', 'Jon Koncak', 'Kenny Smith', 'Kevin Willis', 'Mike Williams', 'Mike Williams', 'Mike Williams', 'Mike Williams', 'Moses Malone', 'Roy Marble', 'Sedric Toney', 'Spud Webb', 'Wes Matthews']"
