,Importance,Description
Previous_Year_Cluster_11,0.02307692307692306,Cluster 11
Previous_Year_Cluster_13,0.019838056680161937,Cluster 13
Previous_Year_Cluster_2,0.01862348178137651,Cluster 2
Previous_Year_Cluster_4,0.017813765182186227,Cluster 4
Previous_Year_Cluster_10,0.014979757085020228,Cluster 10
Previous_Year_Cluster_3,0.012955465587044518,Cluster 3
Previous_Year_Cluster_12,0.010526315789473667,Cluster 12
Previous_Year_Cluster_14,0.010526315789473661,Cluster 14
Previous_Year_Cluster_0,0.00566801619433197,Cluster 0
Previous_Year_Cluster_5,0.00566801619433197,Cluster 5
Previous_Year_Cluster_21,0.005668016194331965,Cluster 21
Previous_Year_Cluster_16,0.005668016194331965,Cluster 16
Previous_Year_Cluster_1,0.0036437246963562596,Cluster 1
Previous_Year_Cluster_18,0.002834008097165985,Cluster 18
Previous_Year_Cluster_23,0.0016194331983805544,Cluster 23
Previous_Year_Cluster_8,0.0008097165991902578,Cluster 8
Previous_Year_Cluster_27,0.00040485829959513995,Cluster 27
Previous_Year_Cluster_26,0.0004048582995951344,Cluster 26
Previous_Year_Cluster_70,0.0,Cluster 70
Previous_Year_Cluster_54,0.0,Cluster 54
Previous_Year_Cluster_57,0.0,Cluster 57
Previous_Year_Cluster_56,0.0,Cluster 56
Previous_Year_Cluster_55,0.0,Cluster 55
Previous_Year_Cluster_73,0.0,Cluster 73
Previous_Year_Cluster_53,0.0,Cluster 53
Previous_Year_Cluster_59,0.0,Cluster 59
Previous_Year_Cluster_52,0.0,Cluster 52
Previous_Year_Cluster_51,0.0,Cluster 51
Previous_Year_Cluster_50,0.0,Cluster 50
Previous_Year_Cluster_49,0.0,Cluster 49
Previous_Year_Cluster_48,0.0,Cluster 48
Previous_Year_Cluster_58,0.0,Cluster 58
Previous_Year_Cluster_61,0.0,Cluster 61
Previous_Year_Cluster_60,0.0,Cluster 60
Previous_Year_Cluster_71,0.0,Cluster 71
Previous_Year_Cluster_62,0.0,Cluster 62
Previous_Year_Cluster_63,0.0,Cluster 63
Previous_Year_Cluster_64,0.0,Cluster 64
Previous_Year_Cluster_65,0.0,Cluster 65
Previous_Year_Cluster_46,0.0,Cluster 46
Previous_Year_Cluster_66,0.0,Cluster 66
Previous_Year_Cluster_72,0.0,Cluster 72
Previous_Year_Cluster_67,0.0,Cluster 67
Previous_Year_Cluster_68,0.0,Cluster 68
Previous_Year_Cluster_69,0.0,Cluster 69
Previous_Year_Cluster_47,0.0,Cluster 47
Previous_Year_Cluster_37,0.0,Cluster 37
Previous_Year_Cluster_45,0.0,Cluster 45
Previous_Year_Cluster_35,0.0,Cluster 35
Previous_Year_Cluster_29,0.0,Cluster 29
Previous_Year_Cluster_44,0.0,Cluster 44
Previous_Year_Cluster_31,0.0,Cluster 31
Previous_Year_Cluster_32,0.0,Cluster 32
Previous_Year_Cluster_33,0.0,Cluster 33
Previous_Year_Cluster_34,0.0,Cluster 34
Previous_Year_Cluster_30,0.0,Cluster 30
Previous_Year_Cluster_36,0.0,Cluster 36
Previous_Year_Cluster_42,0.0,Cluster 42
Previous_Year_Cluster_38,0.0,Cluster 38
Previous_Year_Cluster_43,0.0,Cluster 43
Previous_Year_Cluster_74,0.0,Cluster 74
Previous_Year_Cluster_41,0.0,Cluster 41
Previous_Year_Cluster_40,0.0,Cluster 40
Previous_Year_Cluster_39,0.0,Cluster 39
Previous_Year_Cluster_22,-1.6653345369377347e-17,Cluster 22
Previous_Year_Cluster_28,-0.00040485829959514553,Cluster 28
Previous_Year_Cluster_25,-0.00040485829959514553,Cluster 25
Previous_Year_Cluster_9,-0.0024291497975708677,Cluster 9
Previous_Year_Cluster_15,-0.0028340080971660186,Cluster 15
Previous_Year_Cluster_24,-0.0028340080971660186,Cluster 24
Previous_Year_Cluster_19,-0.00809716599190286,Cluster 19
Previous_Year_Cluster_20,-0.008502024291498,Cluster 20
Previous_Year_Cluster_17,-0.00971659919028342,Cluster 17
Previous_Year_Cluster_6,-0.010931174089068841,Cluster 6
Previous_Year_Cluster_7,-0.01943319838056682,Cluster 7
