Year,Team,Player,Pos,Ht_in,Wt,Birth_Date,Birth,Exp,College
1985,ATL,Sidney Lowe,PG,72.00,195,January 21 1960,us US,1,NC State
1993,ATL,Mookie Blaylock,PG,72.00,180,20-Mar-67,us US,3,"Midland College, Oklahoma"
1994,ATL,John Bagley,PG,72.00,185,April 23 1960,us US,10,Boston College
1994,ATL,Mookie Blaylock,PG,72.00,180,March 20 1967,us US,4,Midland College Oklahoma
1995,ATL,Mookie Blaylock,PG,72.00,180,March 20 1967,us US,5,Midland College Oklahoma
1996,ATL,Mookie Blaylock,PG,72.00,180,20-Mar-67,us US,6,"Midland College, Oklahoma"
1997,ATL,Mookie Blaylock,PG,72.00,180,March 20 1967,us US,7,Midland College Oklahoma
1998,ATL,Mookie Blaylock,PG,72.00,180,March 20 1967,us US,8,Midland College Oklahoma
1999,ATL,Mookie Blaylock,PG,72.00,180,20-Mar-67,us US,9,"Midland College, Oklahoma"
2001,ATL,Sean Colson,PG,72.00,175,July 1 1975,us US,R,Rhode Island UNC Charlotte
2003,ATL,Dan Dickau,PG,72.00,190,16-Sep-78,us US,R,"Washington, Gonzaga"
2004,ATL,Dan Dickau,PG,72.00,190,September 16 1978,us US,1,Washington Gonzaga
2005,ATL,Tyronn Lue,PG,72.00,175,3-May-77,us US,6,Nebraska
2006,ATL,Tyronn Lue,PG,72.00,175,3-May-77,us US,7,Nebraska
2007,ATL,Tyronn Lue,PG,72.00,175,May 3 1977,us US,8,Nebraska
2008,ATL,Tyronn Lue,PG,72.00,175,3-May-77,us US,9,Nebraska
2019,ATL,Jaylen Adams,PG,72.00,225,4-May-96,us US,R,St. Bonaventure
2020,ATL,Brandon Goodwin,PG,72.00,180,October 2 1995,us US,1,Central Florida Florida Gulf Coast
2021,ATL,Brandon Goodwin,PG,72.00,180,2-Oct-95,us US,2,"Central Florida, Florida Gulf Coast"
2023,ATL,Aaron Holiday,PG,72.00,185,September 30 1996,us US,4,UCLA
1990,BOS,John Bagley,PG,72.00,185,April 23 1960,us US,7,Boston College
1992,BOS,John Bagley,PG,72.00,185,23-Apr-60,us US,8,Boston College
1992,BOS,Rickey Green,PG,72.00,170,18-Aug-54,us US,13,"Vincennes University, Michigan"
1992,BOS,Sherman Douglas,PG,72.00,180,15-Sep-66,us US,2,Syracuse
1993,BOS,John Bagley,PG,72.00,185,April 23 1960,us US,9,Boston College
1993,BOS,Sherman Douglas,PG,72.00,180,September 15 1966,us US,3,Syracuse
1994,BOS,Chris Corchiani,PG,72.00,185,March 28 1968,us US,2,NC State
1994,BOS,Sherman Douglas,PG,72.00,180,September 15 1966,us US,4,Syracuse
1995,BOS,David Wesley,PG,72.00,190,14-Nov-70,us US,1,Baylor
1995,BOS,James Blackwell,PG,72.00,190,25-Feb-68,us US,R,Dartmouth College
1995,BOS,Sherman Douglas,PG,72.00,180,15-Sep-66,us US,5,Syracuse
1996,BOS,David Wesley,PG,72.00,190,14-Nov-70,us US,2,Baylor
1996,BOS,Sherman Douglas,PG,72.00,180,15-Sep-66,us US,6,Syracuse
1997,BOS,David Wesley,PG,72.00,190,November 14 1970,us US,3,Baylor
1997,BOS,Michael Hawkins,PG,72.00,178,October 28 1972,us US,R,Xavier
2006,BOS,Dan Dickau,PG,72.00,190,September 16 1978,us US,3,Washington Gonzaga
2007,BOS,Sebastian Telfair,PG,72.00,165,June 9 1985,us US,2,
2015,BOS,Jameer Nelson,PG,72.00,190,9-Feb-82,us US,10,Saint Joseph's
2020,BOS,Kemba Walker,PG,72.00,184,8-May-90,us US,8,UConn
2021,BOS,Kemba Walker,PG,72.00,184,8-May-90,us US,9,UConn
2019,BRK,Shabazz Napier,PG,72.00,175,14-Jul-91,us US,4,UConn
2009,CHA,Sean Singletary,PG,72.00,185,6-Sep-85,us US,R,Virginia
2012,CHA,Kemba Walker,PG,72.00,184,May 8 1990,us US,R,UConn
2013,CHA,Kemba Walker,PG,72.00,184,8-May-90,us US,1,UConn
2014,CHA,Kemba Walker,PG,72.00,184,May 8 1990,us US,2,UConn
1989,CHH,Rickey Green,PG,72.00,170,August 18 1954,us US,10,Vincennes University Michigan
1989,CHH,Sidney Lowe,SG,72.00,195,January 21 1960,us US,2,NC State
1992,CHH,Cedric Hunter,PG,72.00,180,January 16 1965,us US,R,Kansas
1992,CHH,Elliot Perry,PG,72.00,150,March 28 1969,us US,R,Memphis
1993,CHH,Tony Bennett,PG,72.00,175,1-Jun-69,us US,R,Green Bay
1994,CHH,Tony Bennett,PG,72.00,175,1-Jun-69,us US,1,Green Bay
1995,CHH,James Blackwell,PG,72.00,190,February 25 1968,us US,R,Dartmouth College
