name,season_end,season_start,salary
Stephen Curry,2018,2017,34682550
LeBron James,2018,2017,33285709
Paul Millsap,2018,2017,31269231
Blake Griffin,2018,2017,29727900
Gordon Hayward,2018,2017,29727900
Kyle Lowry,2018,2017,28703704
Mike Conley,2018,2017,28530608
Russell Westbrook,2018,2017,28530608
James Harden,2018,2017,28299399
DeMar DeRozan,2018,2017,27739975
Al Horford,2018,2017,27734405
Carmelo Anthony,2018,2017,26243760
Damian Lillard,2018,2017,26153057
Jrue Holiday,2018,2017,25686667
Chris Bosh,2018,2017,25289390
Kevin Durant,2018,2017,25000000
Otto Porter,2018,2017,24773250
Chris Paul,2018,2017,24599495
CJ McCollum,2018,2017,23962573
Bradley Beal,2018,2017,23775506
Anthony Davis,2018,2017,23775506
Andre Drummond,2018,2017,23775506
Hassan Whiteside,2018,2017,23775506
Dwight Howard,2018,2017,23500000
Harrison Barnes,2018,2017,23112004
Chandler Parsons,2018,2017,23112004
J.J. Redick,2018,2017,23000000
Marc Gasol,2018,2017,22642350
DeAndre Jordan,2018,2017,22642350
Brook Lopez,2018,2017,22642350
Kevin Love,2018,2017,22642350
Steven Adams,2018,2017,22471910
Giannis Antetokounmpo,2018,2017,22471910
Nicolas Batum,2018,2017,22434783
Rudy Gobert,2018,2017,21974719
LaMarcus Aldridge,2018,2017,21461010
Victor Oladipo,2018,2017,21000000
Enes Kanter,2018,2017,20566802
Danilo Gallinari,2018,2017,20559599
Serge Ibaka,2018,2017,20061729
George Hill,2018,2017,20000000
Ryan Anderson,2018,2017,19578455
Paul George,2018,2017,19508958
Allen Crabbe,2018,2017,19332500
Jimmy Butler,2018,2017,19301070
Jeff Teague,2018,2017,19000000
Kyrie Irving,2018,2017,18868625
Kawhi Leonard,2018,2017,18868625
DeMarcus Cousins,2018,2017,18063850
John Wall,2018,2017,18063850
Wesley Matthews,2018,2017,17884176
Klay Thompson,2018,2017,17826150
Joakim Noah,2018,2017,17765000
Kentavious Caldwell-Pope,2018,2017,17745894
Luol Deng,2018,2017,17190000
Evan Turner,2018,2017,17131148
Goran Dragic,2018,2017,17000450
Bismack Biyombo,2018,2017,17000000
Evan Fournier,2018,2017,17000000
Kent Bazemore,2018,2017,16910113
Robert Covington,2018,2017,16698103
Ian Mahinmi,2018,2017,16661641
Tim Hardaway Jr.,2018,2017,16500000
Draymond Green,2018,2017,16400000
Tristan Thompson,2018,2017,16400000
Greg Monroe,2018,2017,16384175
Pau Gasol,2018,2017,16000000
Tobias Harris,2018,2017,16000000
Reggie Jackson,2018,2017,16000000
Dwyane Wade,2018,2017,15550000
Dennis Schroder,2018,2017,15500000
Jonas Valanciunas,2018,2017,15460675
Tony Parker,2018,2017,15453126
Timofey Mozgov,2018,2017,15280000
Andre Iguodala,2018,2017,14814815
DeMarre Carroll,2018,2017,14800000
Thaddeus Young,2018,2017,14796348
Eric Bledsoe,2018,2017,14500000
Ricky Rubio,2018,2017,14275000
Joe Ingles,2018,2017,14136364
Gorgui Dieng,2018,2017,14112360
Khris Middleton,2018,2017,14100000
Mason Plumlee,2018,2017,14041096
Taj Gibson,2018,2017,14000000
James Johnson,2018,2017,13954000
Robin Lopez,2018,2017,13788500
J.R. Smith,2018,2017,13760000
Brandon Knight,2018,2017,13618750
Marvin Williams,2018,2017,13168750
Tyson Chandler,2018,2017,13000000
Michael Kidd-Gilchrist,2018,2017,13000000
Eric Gordon,2018,2017,12943020
Kenneth Faried,2018,2017,12921348
Marcin Gortat,2018,2017,12782609
Cody Zeller,2018,2017,12584270
Nikola Mirotic,2018,2017,12500000
Miles Plumlee,2018,2017,12500000
Zach Randolph,2018,2017,12307692
Nikola Vucevic,2018,2017,12250000
Solomon Hill,2018,2017,12236535
Wilson Chandler,2018,2017,12016854
Derrick Favors,2018,2017,12000000
Jeremy Lin,2018,2017,12000000
Kemba Walker,2018,2017,12000000
Austin Rivers,2018,2017,11825000
Courtney Lee,2018,2017,11747890
Jordan Clarkson,2018,2017,11562500
John Henson,2018,2017,11422536
Amir Johnson,2018,2017,11000000
Dion Waiters,2018,2017,11000000
Jamal Crawford,2018,2017,10942762
Alec Burks,2018,2017,10845506
Patty Mills,2018,2017,10714286
Kelly Olynyk,2018,2017,10607169
Omer Asik,2018,2017,10595505
Bojan Bogdanovic,2018,2017,10500000
Terrence Ross,2018,2017,10500000
Mirza Teletovic,2018,2017,10500000
Jon Leuer,2018,2017,10497319
Iman Shumpert,2018,2017,10337079
Maurice Harkless,2018,2017,10162922
Darren Collison,2018,2017,10000000
Jared Dudley,2018,2017,10000000
Danny Green,2018,2017,10000000
Meyers Leonard,2018,2017,9904495
